parametro_variado,nivel,seed,pop_size,gens,pc,pm,sigma,best_fitness,rmse_medio,geracoes_ate_estabilizar,tempo_s,n_avaliacoes_objetivo,status
crossover_rate,0.5,46,20,10,0.5,0.3,0.2,1.3235635464081303,1.3235635464081303,1,4.100610971450806,220,OK
crossover_rate,0.7,42,20,10,0.7,0.3,0.2,1.2919688743971502,1.2919688743971502,4,3.8903024196624756,220,OK
crossover_rate,0.7,43,20,10,0.7,0.3,0.2,1.3122288565864837,1.3122288565864837,7,4.067728042602539,220,OK
crossover_rate,0.7,44,20,10,0.7,0.3,0.2,1.231929999412178,1.231929999412178,5,4.545945882797241,220,OK
crossover_rate,0.7,45,20,10,0.7,0.3,0.2,1.3077025181961568,1.3077025181961568,3,4.171158790588379,220,OK
crossover_rate,0.7,46,20,10,0.7,0.3,0.2,1.319341087379538,1.319341087379538,1,4.205125093460083,220,OK
crossover_rate,0.9,42,20,10,0.9,0.3,0.2,1.2723974784850627,1.2723974784850627,8,4.701110601425171,220,OK
crossover_rate,0.9,43,20,10,0.9,0.3,0.2,1.3340671486413456,1.3340671486413456,1,4.549307107925415,220,OK
crossover_rate,0.9,44,20,10,0.9,0.3,0.2,1.3162120384348215,1.3162120384348215,10,4.981645584106445,220,OK
crossover_rate,0.9,45,20,10,0.9,0.3,0.2,1.3089520645076584,1.3089520645076584,6,4.244625806808472,220,OK
crossover_rate,0.9,46,20,10,0.9,0.3,0.2,1.291974103062034,1.291974103062034,5,4.883171319961548,220,OK
